combination,chi_sq,p_value
CNN-CTB,18.31845798086291,0.049823496362044306
CNN-FXN,13.324069181053583,0.20611287624684937
CNN-HFP,29.909156975993067,0.0008864434248424535
CNN-NBC,11.624834581322741,0.3109491303410594
CNN-NYT,165.5686706610455,0.0
CNN-RET,87.79068142280386,1.4654943925052066e-14
CNN-WPO,48.46372849912247,5.106445901681411e-07
CNN-WSJ,27.735015365852593,0.001990198909364138
CTB-CNN,22.043345400623853,0.014885299601154034
CTB-FXN,48.13321716490758,5.868558600186091e-07
CTB-HFP,34.88296264023759,0.00013073904136406966
CTB-NBC,8.686000336393729,0.5621398596907013
CTB-NYT,90.64195098369595,3.9968028886505635e-15
CTB-RET,74.53104180075304,5.870193220403053e-12
CTB-WPO,34.61260899825051,0.00014536368377837672
CTB-WSJ,10.995696962571532,0.3578533478429635
FXN-CNN,13.324069181053586,0.20611287624684915
FXN-CTB,11.884038552303572,0.29289236172542543
FXN-HFP,30.436437317779397,0.0007265392286074368
FXN-NBC,10.06738140731837,0.43460171534210423
FXN-NYT,384.11337652229804,0.0
FXN-RET,169.57281419303777,0.0
FXN-WPO,63.87712323292768,6.642955074909196e-10
FXN-WSJ,25.70895468480869,0.004151987080315833
HFP-CNN,15.348015691288774,0.11987955715703869
HFP-CTB,3.2695693692311,0.9743497095817097
HFP-FXN,48.518777949833506,4.989411639400032e-07
HFP-NBC,11.446352809614273,0.32381580493021034
HFP-NYT,273.38190646241134,0.0
HFP-RET,230.045047921708,0.0
HFP-WPO,73.69224475190248,8.54449844212013e-12
HFP-WSJ,25.96007118306306,0.0037942606438642335
NBC-CNN,137.35564985415547,0.0
NBC-CTB,50.09986816702237,2.5585467589017696e-07
NBC-FXN,577.9012556643811,0.0
NBC-HFP,607.3615652159145,0.0
NBC-NYT,368.898584128383,0.0
NBC-RET,885.8651672847863,0.0
NBC-WPO,735.6281134280362,0.0
NBC-WSJ,70.14374775650067,4.159261823843963e-11
NYT-CNN,76.0841099360372,2.9256597144922125e-12
NYT-CTB,24.810014573927532,0.005717488544310534
NYT-FXN,234.1464675380826,0.0
NYT-HFP,119.24140388006931,0.0
NYT-NBC,17.114380079964803,0.0718710456761793
NYT-RET,338.15042670613286,0.0
NYT-WPO,193.19286873945566,0.0
NYT-WSJ,53.26595893047784,6.645272787597634e-08
RET-CNN,63.274994250873995,8.653820993131944e-10
RET-CTB,20.033388425176437,0.028938466626600823
RET-FXN,317.46209324369227,0.0
RET-HFP,316.0558419644816,0.0
RET-NBC,8.467097810322173,0.5833098041221974
RET-NYT,866.7293841635086,0.0
RET-WPO,594.1002557673521,0.0
RET-WSJ,13.158599459727252,0.2149390649401265
WPO-CNN,27.63971578074042,0.0020610980876928364
WPO-CTB,17.924139960516378,0.05625685478652853
WPO-FXN,59.94657467119337,3.7096489213794825e-09
WPO-HFP,52.10255924066721,1.0922968907145503e-07
WPO-NBC,16.013494602882314,0.09924675310688624
WPO-NYT,236.2011524697415,0.0
WPO-RET,414.14020170360715,0.0
WPO-WSJ,50.703297262068645,1.9809404627757488e-07
WSJ-CNN,17.173255788492934,0.07061710799405196
WSJ-CTB,4.784090500952549,0.9051263550375303
WSJ-FXN,31.72709049615961,0.0004445882564464432
WSJ-HFP,23.72709306713507,0.008358670368864063
WSJ-NBC,7.074683977608871,0.7183760218591788
WSJ-NYT,152.52038260016585,0.0
WSJ-RET,4.118865212954335,0.941825464857348
WSJ-WPO,58.51335504818851,6.918730588445499e-09
