reference,comparison,combination,chi_sq,p_value
CNN,CTB,CNN-CTB,0.0,1.0
CNN,FXN,CNN-FXN,0.0,1.0
CNN,HFP,CNN-HFP,0.0,1.0
CNN,NBC,CNN-NBC,0.0,1.0
CNN,NYT,CNN-NYT,0.0,1.0
CNN,RET,CNN-RET,0.0,1.0
CNN,WPO,CNN-WPO,0.0,1.0
CNN,WSJ,CNN-WSJ,0.0,1.0
CTB,CNN,CTB-CNN,0.0,1.0
CTB,FXN,CTB-FXN,0.0,1.0
CTB,HFP,CTB-HFP,0.0,1.0
CTB,NBC,CTB-NBC,0.0,1.0
CTB,NYT,CTB-NYT,0.0,1.0
CTB,RET,CTB-RET,0.0,1.0
CTB,WPO,CTB-WPO,0.0,1.0
CTB,WSJ,CTB-WSJ,0.0,1.0
FXN,CNN,FXN-CNN,0.0,1.0
FXN,CTB,FXN-CTB,0.0,1.0
FXN,HFP,FXN-HFP,0.0,1.0
FXN,NBC,FXN-NBC,0.0,1.0
FXN,NYT,FXN-NYT,0.0,1.0
FXN,RET,FXN-RET,0.0,1.0
FXN,WPO,FXN-WPO,0.0,1.0
FXN,WSJ,FXN-WSJ,0.0,1.0
HFP,CNN,HFP-CNN,0.0,1.0
HFP,CTB,HFP-CTB,0.0,1.0
HFP,FXN,HFP-FXN,0.0,1.0
HFP,NBC,HFP-NBC,0.0,1.0
HFP,NYT,HFP-NYT,0.0,1.0
HFP,RET,HFP-RET,0.0,1.0
HFP,WPO,HFP-WPO,0.0,1.0
HFP,WSJ,HFP-WSJ,0.0,1.0
NBC,CNN,NBC-CNN,0.0,1.0
NBC,CTB,NBC-CTB,0.0,1.0
NBC,FXN,NBC-FXN,0.0,1.0
NBC,HFP,NBC-HFP,0.0,1.0
NBC,NYT,NBC-NYT,0.0,1.0
NBC,RET,NBC-RET,0.0,1.0
NBC,WPO,NBC-WPO,0.0,1.0
NBC,WSJ,NBC-WSJ,0.0,1.0
NYT,CNN,NYT-CNN,0.0,1.0
NYT,CTB,NYT-CTB,0.0,1.0
NYT,FXN,NYT-FXN,0.0,1.0
NYT,HFP,NYT-HFP,0.0,1.0
NYT,NBC,NYT-NBC,0.0,1.0
NYT,RET,NYT-RET,0.0,1.0
NYT,WPO,NYT-WPO,0.0,1.0
NYT,WSJ,NYT-WSJ,0.0,1.0
RET,CNN,RET-CNN,0.0,1.0
RET,CTB,RET-CTB,0.0,1.0
RET,FXN,RET-FXN,0.0,1.0
RET,HFP,RET-HFP,0.0,1.0
RET,NBC,RET-NBC,0.0,1.0
RET,NYT,RET-NYT,0.0,1.0
RET,WPO,RET-WPO,0.0,1.0
RET,WSJ,RET-WSJ,0.0,1.0
WPO,CNN,WPO-CNN,0.0,1.0
WPO,CTB,WPO-CTB,0.0,1.0
WPO,FXN,WPO-FXN,0.0,1.0
WPO,HFP,WPO-HFP,0.0,1.0
WPO,NBC,WPO-NBC,0.0,1.0
WPO,NYT,WPO-NYT,0.0,1.0
WPO,RET,WPO-RET,0.0,1.0
WPO,WSJ,WPO-WSJ,0.0,1.0
WSJ,CNN,WSJ-CNN,0.0,1.0
WSJ,CTB,WSJ-CTB,0.0,1.0
WSJ,FXN,WSJ-FXN,0.0,1.0
WSJ,HFP,WSJ-HFP,0.0,1.0
WSJ,NBC,WSJ-NBC,0.0,1.0
WSJ,NYT,WSJ-NYT,0.0,1.0
WSJ,RET,WSJ-RET,0.0,1.0
WSJ,WPO,WSJ-WPO,0.0,1.0
