HFP-NYT,NYT-HFP,CNN-RET,RET-CNN,FXN-WSJ,WSJ-FXN
,,,,,
0.010985321681586835,0.0062071934214309454,0.009076772864392235,0.009076772864392235,0.07093042666851912,0.07093042666851901
1.879724588726983e-05,0.00433347871172618,0.0061930636570542985,0.0061930636570542985,0.0009818179065655963,0.18055989565472674
1.411184880173444e-06,0.005134555669649599,0.006710873486493241,0.006710873486493241,0.003238803254075995,0.2958139060707765
4.5774648693708286e-07,0.007299786255944518,0.00850670153824995,0.00850670153824995,0.008186404671241432,0.4202882277366021
2.9788886790615976e-07,0.010911766226047503,0.011606889611038396,0.011606889611038396,0.01753742920305923,0.5432615025946996
8.458099702846056e-07,0.014247160508898848,5.093867963623655e-05,0.013805718329167771,0.03322518381146877,0.6567829510760368
2.202646870119729e-06,0.019053559355370897,9.229880138938995e-05,0.017084601033536262,0.05122393030690553,0.7528591674108661
1.8901034474216871e-06,0.012913628812850964,0.00016366568173575846,1.4213031862553294e-09,0.07566331480650346,0.0528284834160504
9.103157855294697e-07,0.0007031063387967773,1.0186695931224676e-10,2.900568674135684e-12,0.016442160481435875,0.007511452546714925
5.093709485315401e-07,4.50984436350943e-05,2.220446049250313e-16,7.382983113757291e-14,0.004561372042397038,0.0005856174415955762
4.855841645445835e-07,7.243797589207013e-06,0.0,2.1327384303049257e-13,0.0012937569788223913,6.785732939884603e-06
5.957333196748849e-07,8.298292032082877e-06,0.0,6.100675520315235e-13,0.0003542410027858045,2.5295501678845866e-06
9.349567128280611e-07,3.9284242525639e-11,0.0,1.6681100944992977e-12,0.00026634254753965525,1.0224735391695106e-06
1.4471466120991039e-06,5.507028166817918e-11,0.0,1.1102230246251565e-16,0.00011885208640238787,4.451736826949215e-07
2.6299931832340917e-06,1.2645440250480533e-13,0.0,1.1102230246251565e-16,5.650379063171229e-05,2.075375958865422e-07
2.086264444756125e-06,1.894040480010517e-13,0.0,0.0,2.7440373883913516e-05,1.0304876518762995e-07
3.252962774702439e-07,2.348121697082206e-13,0.0,0.0,2.9496259499217636e-05,4.879174841931899e-11
6.352392947217567e-07,4.3298697960381105e-15,0.0,0.0,3.28009885758318e-05,2.4202861936828413e-14
1.2068386003871723e-06,5.10702591327572e-15,0.0,0.0,1.693822396930944e-05,2.5868196473766147e-14
2.23405089916362e-06,7.993605777301127e-15,0.0,0.0,1.0328031050055309e-05,2.808864252301646e-14
1.7295311993681395e-06,2.7755575615628914e-15,1.1102230246251565e-16,0.0,6.352880661530946e-06,6.750155989720952e-14
1.0430498709190772e-07,9.992007221626409e-16,0.0,0.0,3.940880462960372e-06,1.582067810090848e-13
1.8450993699570262e-07,3.3306690738754696e-16,0.0,0.0,3.649219088130984e-06,6.80566714095221e-14
3.2054736220921143e-07,6.661338147750939e-16,0.0,0.0,2.57240959333771e-06,2.886579864025407e-15
2.095382484190722e-07,1.2212453270876722e-15,0.0,0.0,2.4893356986854798e-06,2.1094237467877974e-15
7.57721785316079e-09,2.3314683517128287e-15,0.0,0.0,1.841451142237105e-06,4.773959005888173e-15
3.0589009103465514e-10,2.3314683517128287e-15,0.0,0.0,1.3695193574747577e-06,1.1102230246251565e-14
5.906142241940415e-10,2.55351295663786e-15,1.1102230246251565e-16,0.0,1.023897151952724e-06,4.218847493575595e-15
1.1205343319886651e-09,1.887379141862766e-15,2.220446049250313e-16,0.0,7.694422151649505e-07,3.1086244689504383e-15
