NYT-WPO,WPO-NYT,NPR-RET,RET-NPR,FXN-NMX,NMX-FXN
,,,,,
0.9275910312267002,0.9275910312267002,0.30193527571330536,0.30193527571330536,0.8265375950562648,0.8265375950562648
0.08001573381371563,0.09004312732357278,0.0013497914580392623,0.5635832556955884,0.9472116340078236,0.9507295792166391
0.031494470359357596,0.01382164409993425,0.003185244430653267,0.7509452738170898,0.9811108047352416,0.9811108047352416
0.018844257272075948,0.003464759700463449,0.006491646633498327,0.8686191907206571,0.9902560467431336,0.9902560467431336
0.016964184458346243,0.0014075688779529028,0.012014314607590726,0.9353301945090552,0.9956287541180133,0.9959523908015464
0.014836127622403605,0.0007846235620437847,0.020656527555589554,0.9700747407306005,0.9981866255827236,0.9984243157267144
0.001306471048589275,0.0005448940819454684,0.03342303064628427,0.9705058362306285,0.9992908813615204,0.9994183656928837
0.00015415408277730247,0.0006701621887997833,0.0008027676420252483,0.9818560485740957,0.999602977259011,0.9997951144663273
2.365087330080673e-05,0.0008412308098183496,0.0011862385757216432,0.9891109910118211,0.9997984924521882,0.9998617826490858
4.557935378679545e-06,0.0010717739323533593,0.0017263034166240532,0.9910836097912183,0.9999045621176902,0.9999193840274855
1.070087261578756e-06,0.001379698701885923,0.002116759374198751,0.9929888562344322,0.9999571835197824,0.9999571835197824
4.493170162600535e-07,0.0021312562470500174,0.0023415408820932626,0.98976380086342,0.9939411671067881,0.9895872453500598
9.584229648806897e-07,0.00013443547621827534,0.003750171572552863,0.9942551940262893,0.9451714453683808,0.9463741555488719
1.9684069605396814e-06,0.0001087102654168115,0.005818675666670603,0.9936088075646375,0.8559589817460752,0.42003136000776453
3.903438604235809e-06,1.9406738314686756e-05,0.009251107387179491,0.9941559437917887,0.8790370035870118,0.07159377326837535
7.492131877451236e-06,3.795738882539368e-06,0.01420601805400068,0.9868908464219934,0.6935457211277452,0.007980655507820344
5.2658701490404525e-06,8.123480753630119e-07,0.021123595247836913,0.9767235428914235,0.6126139183208319,0.009534087195034902
4.347629991574564e-06,1.8961124714778066e-07,0.02323838196096617,0.9713131901264227,0.5391446725837068,1.572678876016198e-09
8.067735195460557e-06,4.8068639291187765e-08,0.025721986654237528,0.9670569205580888,0.5824041057336897,6.145058906170675e-10
7.610594584872565e-06,1.317666620259672e-08,0.03204548425043674,0.9746043044918496,0.6240311824023241,0.0
1.34114756092929e-05,3.888312338773403e-09,0.04405697850443335,0.9806303761659727,0.6636888017234321,0.0
2.3091197600133562e-05,1.2298558837997575e-09,0.004880607188288422,0.9853821464484638,0.701105506323656,0.0
2.970877642938241e-05,4.1524206295662225e-10,0.002308838951638359,0.9905551655986894,0.7360766941360277,0.0
3.829272090127844e-05,1.4908152490278326e-10,0.0006984267716723114,0.9929920684336851,0.7684634041042823,0.0
2.257313823639251e-07,5.6708859830223446e-11,0.0009883155946845967,0.9955800597967994,0.7981889915285392,0.0
3.7894880378086526e-07,8.14944778326776e-11,0.0003048004965277018,0.9972581092040341,0.8252340757451178,0.0
3.2339310973572566e-07,3.3584246494910985e-11,0.00015228358410090959,0.9965664813160872,0.8496301799178293,0.0
5.677991329333665e-07,4.950428955652342e-11,4.85152497177177e-05,0.9975154310056477,0.8714524914552977,0.0
7.028834627664793e-07,7.292777493006497e-11,7.53742953244485e-05,0.9982126342708594,0.8908121552968822,0.0
9.514517798070443e-07,1.0733702815457491e-10,0.00011529924353781418,0.9987216068087305,0.44001804866320726,0.0
1.281840557143532e-06,1.577933339547144e-10,3.82958106107667e-05,0.9986240720036152,0.37393091397703326,0.0
1.1596474456254668e-06,2.3163093665345968e-10,1.2927019189090672e-05,0.9985400135018483,0.29181051875792585,0.0
1.0695686808448457e-06,3.394448055971111e-10,4.44668824628458e-06,0.9984699279504726,0.3347398206267842,0.0
1.1084458224619453e-06,4.96490293322438e-10,1.5616000511586847e-06,0.9984138978836653,0.37947636501641735,0.0
1.153127855202385e-06,7.246599986743263e-10,5.605776407513474e-07,0.9983716714955605,0.07600289271684613,0.0
1.2040248956735056e-06,1.2382979086567047e-09,4.0412710855530776e-07,0.9983427346827558,0.008687988418345505,0.0
1.2616175557589315e-06,1.9283314944829044e-09,2.3135248705674627e-07,0.9988029684946909,0.011594155529596528,0.0
7.620074252701059e-07,2.9868018058820667e-09,1.832005934732095e-07,0.9991405572971636,0.010076346949924653,0.0
2.945052646197155e-07,4.054979352297039e-09,1.6177279194007355e-07,0.9993865710285093,0.012646152273255162,0.0
