obama,bush,united_states,Germany,France
,,,,
0.010985321681586835,0.00026400713051610847,0.5731535898712301,0.8100669689766017,0.15392820976725008
1.879724588726983e-05,0.0010300815483056391,0.6300949052085794,0.05009573598363937,0.0011705927200647004
1.411184880173444e-06,0.003130952725885927,0.6942294064869382,0.11232336593381809,0.00030334486923688786
4.5774648693708286e-07,0.0076188187978822874,0.7637356857495534,0.20037428757825015,0.0005049265886593046
2.9788886790615976e-07,0.01595589531502406,0.8263110213466327,0.12018737828520887,0.0006075803941798519
8.458099702846056e-07,0.029847520227918922,0.8777837994428872,0.08952313397946077,0.0007717433518954486
2.202646870119729e-06,0.05101980770150705,0.8425463620528,0.14003612190884407,0.0007115775300882143
1.8901034474216871e-06,0.0592523439258712,0.6993055792653999,0.18103538370661698,6.738846644938068e-05
9.103157855294697e-07,0.006428911110667457,0.7188122972490395,0.11090552899512218,0.00012393856362125089
5.093709485315401e-07,0.004395445020102695,0.778878961022861,0.07182725082354335,0.00018739947973800408
4.855841645445835e-07,0.006382631396986471,0.7867737872349155,0.011062732149260013,0.00028142882180526296
5.957333196748849e-07,0.008324508605415226,0.4221501934776217,0.017014491246629238,0.00041918484579439586
9.349567128280611e-07,0.010898369684098519,0.45479643481959053,0.003109784724289133,0.000618597149890654
1.4471466120991039e-06,0.014519464554833883,0.48893368269881965,0.0006300203498680323,0.0008781026283209981
